Actual,Predicted,BERT Precision,BERT Recall,BERT F1,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,ROUGE-Lsum F1,BLEU Score,METEOR Score
"TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.For the full-year, TimeWarner posted a profit of $3.36bn, up 27% from its 2003 performance, while revenues grew 6.4% to $42.09bn.Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (£600m) for the three months to December, from $639m year-earlier.However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.For 2005, TimeWarner is projecting operating earnings growth of around 5%, and also expects higher revenue and wider profit margins.It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.Time Warner's fourth quarter profits were slightly better than analysts' expectations.",time Warner profits jumped 76% to $1.13bn (£600m) for the three months to December. it said fourth quarter sales rose 2% to $11.1bn from $10.9bn. its profits were buoyed by one-off gains which offset a profit dip.,[0.9353446960449219],[0.8121517896652222],[0.8694059252738953],0.422680412371134,0.36458333333333337,0.28865979381443296,0.28865979381443296,0.05095087996333655,0.0
"The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive.Market concerns about the deficit has hit the greenback in recent months.""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York.The recent falls have partly been the result of big budget deficits, as well as the US's yawning current account gap, both of which need to be funded by the buying of US bonds and assets by foreign firms and governments.""He's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next.""","in late trading in new york, the dollar reached $1.2871 against the euro, from $1.2974 on Thursday. the u.s. government's willingness to curb spending and rising household savings are factors which may help to reduce it. concerns about the deficit concerns about China remain.",[0.794705867767334],[0.734546959400177],[0.763443112373352],0.2018348623853211,0.08333333333333334,0.12844036697247707,0.12844036697247707,0.006274424597674588,0.0
"Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets.State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos.The sale went ahead in December and Yugansk was sold to a little-known shell company which in turn was bought by Rosneft.But the company has said it intends to take action against Menatep to recover some of the tax claims and debts owed by Yugansk.""The pledged assets are with Rosneft, so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,"" said Moscow-based US lawyer Jamie Firestone, who is not connected to the case.",state-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos. the company has said it intends to take action against menatep to recover some of the tax claims owed by Yugansk.,[0.9676086902618408],[0.8545780181884766],[0.9075877070426941],0.5310734463276836,0.5142857142857142,0.5310734463276836,0.5310734463276836,0.1390668776605557,0.0
"Rod Eddington, BA's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%.To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers.BA had previously forecast a 2% to 3% rise in full-year revenue.""It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said.Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m.""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said.Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers.BA's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.","high fuel prices hit BA's profits, reporting its results for the three months to 31 December 2004. the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. it expects a rise in full-year revenues.",[0.8306070566177368],[0.7422378659248352],[0.7839399576187134],0.19277108433734938,0.08097165991902835,0.15261044176706828,0.15261044176706828,0.003288990269114667,0.0
"Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.Pernod said it was seeking acquisitions but refused to comment on specifics.In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros).Allied Domecq shares in London rose 4% by 1200 GMT, while Pernod shares in Paris slipped 1.2%.",Allied Domecq shares in London rose 4% by 1200 GMT. Pernod shares in Paris slipped 1.2%. pernod said it was seeking acquisitions but refused to comment on specifics.,[0.9520219564437866],[0.7917860746383667],[0.8645420670509338],0.3972602739726028,0.3611111111111111,0.23287671232876714,0.23287671232876714,0.045735400123473546,0.0
"On an annual basis, the data suggests annual growth of just 0.2%, suggesting a much more hesitant recovery than had previously been thought.A common technical definition of a recession is two successive quarters of negative growth.Revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter.Japan's economy teetered on the brink of a technical recession in the three months to September, figures show.",a common technical definition of a recession is two successive quarters of negative growth. a common technical definition of a recession is two successive quarters of negative growth. the government was keen to play down the worrying implications of the data.,[0.8917653560638428],[0.764208972454071],[0.8230744004249573],0.4695652173913044,0.26548672566371684,0.34782608695652173,0.34782608695652173,0.1663362595750559,0.0
"The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions.The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000.The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.""The economy is producing a moderate but not a satisfying amount of job growth,"" said Ken Mayland, president of ClearView Economics.He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover.","a fall in jobseekers pushed the unemployment rate to its lowest level in three years. the increase in non-farm payrolls was below market expectations of 190,000 new jobs. the gains mean that president bush can celebrate a net growth in jobs in the US economy.",[0.9053005576133728],[0.7850874662399292],[0.840919554233551],0.4148936170212766,0.32258064516129026,0.2446808510638298,0.2446808510638298,0.06721007775190294,0.0
"At a conference on developing enterprise hosted by UK finance minister Gordon Brown on Friday, he said that he was in favour of floating exchange rates because they help countries cope with economic shocks.In London on Thursday ahead of the meeting, India's finance minister, lashed out at the restrictive trade policies of the G7 nations.Mr Chidambaram is attending the G7 meeting as part of the G20 group of nations, which account for two thirds of the world's population.China is expected to face renewed pressure to abandon its fixed exchange rate, which G7 nations, in particular the US, have blamed for a surge in cheap Chinese exports.Palaniappan Chidambaram, India's finance minister, argued that these organisations need to take into account the changing world order, given India and China's integration into the global economy.India, along with China, Brazil, South Africa and Russia, has been invited to take part in the G7 meeting taking place in London on Friday and Saturday.","india's finance minister lashed out at the restrictive trade policies of the G7 nations. he objected to subsidies on agriculture that make it hard for developing nations like India to compete. he also called for reform of the u.n., the world bank and the IMF.",[0.8443565368652344],[0.738717257976532],[0.7880121469497681],0.29906542056074764,0.15094339622641512,0.21495327102803735,0.21495327102803735,0.021393273964096664,0.0
"In 2003, crop production totalled 11.49 million tonnes, the joint report from the Food and Agriculture Organisation and the World Food Programme said.The Food and Agriculture Organisation (FAO) recommend that the food assistance is bought locally.Last year, a total of 965,000 tonnes of food assistance was needed to help seven million Ethiopians.The report calculated emergency food requirements for 2005 to be 387,500 tonnes.On top of that, 89,000 tonnes of fortified blended food and vegetable oil for ""targeted supplementary food distributions for a survival programme for children under five and pregnant and lactating women"" will be needed.","in 2003 crop production totalled 11.49 million tonnes, a report says. 2.2 million Ethiopians will still need emergency assistance. agriculture is the main economic activity in Ethiopia, representing 45% of gross domestic product.",[0.8499800562858582],[0.7548009157180786],[0.7995679974555969],0.28776978417266186,0.13138686131386862,0.20143884892086333,0.20143884892086333,0.02534693537558342,0.0
"A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.The tobacco companies deny that they illegally conspired to promote smoking and defraud the public.In its case, the government claimed tobacco firms manipulated nicotine levels to increase addiction, targeted teenagers with multi-billion dollar advertising campaigns, lied about the dangers of smoking and ignored research to the contrary.Shares of tobacco companies closed higher after the ruling, with Altria rising 5% and Reynolds showing gains of 4.5%.",the demand for $280bn (£155bn) - filed by the Clinton administration in 1999 - was rejected in a 2-1 decision. the case could not be brought under federal anti-racketeering laws.,[0.7428826093673706],[0.6948748230934143],[0.7180771827697754],0.11199999999999999,0.0,0.08,0.08,1.5403894185045144e-232,0.0
