Actual,Predicted,BERT Precision,BERT Recall,BERT F1,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,ROUGE-Lsum F1,BLEU Score,METEOR Score
"TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.For the full-year, TimeWarner posted a profit of $3.36bn, up 27% from its 2003 performance, while revenues grew 6.4% to $42.09bn.Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (£600m) for the three months to December, from $639m year-earlier.However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.For 2005, TimeWarner is projecting operating earnings growth of around 5%, and also expects higher revenue and wider profit margins.It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.Time Warner's fourth quarter profits were slightly better than analysts' expectations.","US media giant Time Warner has reported a 76% jump in profits for the fourth quarter, helped by sales of high-speed internet connections and higher advert sales, despite a profit dip at Warner Bros and less users for AOL.",[0.8655571341514587],[0.7450422644615173],[0.8007909059524536],0.31088082901554404,0.16753926701570682,0.19689119170984457,0.19689119170984457,0.01958467539342839,0.0
"The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive.Market concerns about the deficit has hit the greenback in recent months.""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York.The recent falls have partly been the result of big budget deficits, as well as the US's yawning current account gap, both of which need to be funded by the buying of US bonds and assets by foreign firms and governments.""He's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next.""",The dollar has hit its highest level against the euro in almost three months after Federal Reserve head Alan Greenspan said the US trade deficit is set to stabilise and that the US government's willingness to curb spending could help to reduce it.,[0.8888163566589355],[0.7591961622238159],[0.8189088106155396],0.30841121495327106,0.2358490566037736,0.29906542056074764,0.29906542056074764,0.037272396920158456,0.0
"Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets.State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos.The sale went ahead in December and Yugansk was sold to a little-known shell company which in turn was bought by Rosneft.But the company has said it intends to take action against Menatep to recover some of the tax claims and debts owed by Yugansk.""The pledged assets are with Rosneft, so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,"" said Moscow-based US lawyer Jamie Firestone, who is not connected to the case.",The owners of embattled Russian oil giant Yukos are to ask Rosneft to pay back a $900m (£479m) loan after it bought its former production unit.,[0.82992023229599],[0.7556901574134827],[0.7910677194595337],0.1923076923076923,0.03896103896103897,0.10256410256410257,0.10256410256410257,6.930831828119401e-80,0.0
"Rod Eddington, BA's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%.To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers.BA had previously forecast a 2% to 3% rise in full-year revenue.""It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said.Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m.""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said.Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers.BA's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",British Airways has blamed high fuel prices for a 40% drop in profits as it reported a pre-tax profit of £75m ($141m) compared with £125m a year earlier.,[0.8160246014595032],[0.7138081192970276],[0.7615014910697937],0.11016949152542373,0.008547008547008546,0.08474576271186442,0.08474576271186442,1.2919633570468352e-157,0.0
"Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.Pernod said it was seeking acquisitions but refused to comment on specifics.In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros).Allied Domecq shares in London rose 4% by 1200 GMT, while Pernod shares in Paris slipped 1.2%.",Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.,[0.9555232524871826],[0.7292892932891846],[0.8272171020507812],0.375,0.36619718309859156,0.375,0.375,0.04232933455960818,0.0
"On an annual basis, the data suggests annual growth of just 0.2%, suggesting a much more hesitant recovery than had previously been thought.A common technical definition of a recession is two successive quarters of negative growth.Revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter.Japan's economy teetered on the brink of a technical recession in the three months to September, figures show.","Japan's economy teetered on the brink of a technical recession in the three months to September, figures show, suggesting a much more hesitant recovery than had previously been thought.",[0.9557053446769714],[0.8226292133331299],[0.8841881155967712],0.5769230769230769,0.5490196078431373,0.3653846153846153,0.3653846153846153,0.2170875070500403,0.0
"The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions.The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000.The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.""The economy is producing a moderate but not a satisfying amount of job growth,"" said Ken Mayland, president of ClearView Economics.He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover.","The US economy created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years. But analysts said the growth was not as strong as could have been expected given the favourable economic conditions.",[0.9417658448219299],[0.7857781052589417],[0.8567295074462891],0.4623655913978495,0.40217391304347827,0.3118279569892473,0.3118279569892473,0.09282207413808329,0.0
"At a conference on developing enterprise hosted by UK finance minister Gordon Brown on Friday, he said that he was in favour of floating exchange rates because they help countries cope with economic shocks.In London on Thursday ahead of the meeting, India's finance minister, lashed out at the restrictive trade policies of the G7 nations.Mr Chidambaram is attending the G7 meeting as part of the G20 group of nations, which account for two thirds of the world's population.China is expected to face renewed pressure to abandon its fixed exchange rate, which G7 nations, in particular the US, have blamed for a surge in cheap Chinese exports.Palaniappan Chidambaram, India's finance minister, argued that these organisations need to take into account the changing world order, given India and China's integration into the global economy.India, along with China, Brazil, South Africa and Russia, has been invited to take part in the G7 meeting taking place in London on Friday and Saturday.","Finance minister Palaniappan Chidambaram has called for reform of the United Nations, the World Bank and the IMF ahead of the G7 meeting of seven leading industrialised nations on Friday.",[0.8476184606552124],[0.7453213334083557],[0.7931851744651794],0.2233502538071066,0.09230769230769231,0.16243654822335027,0.16243654822335027,5.3979618123872514e-80,0.0
"In 2003, crop production totalled 11.49 million tonnes, the joint report from the Food and Agriculture Organisation and the World Food Programme said.The Food and Agriculture Organisation (FAO) recommend that the food assistance is bought locally.Last year, a total of 965,000 tonnes of food assistance was needed to help seven million Ethiopians.The report calculated emergency food requirements for 2005 to be 387,500 tonnes.On top of that, 89,000 tonnes of fortified blended food and vegetable oil for ""targeted supplementary food distributions for a survival programme for children under five and pregnant and lactating women"" will be needed.","Ethiopia produced 14.27 million tonnes of crops in 2004, 24% higher than in 2003 and 21% more than the average of the past five years, a report says. In 2003, crop production totalled 11.49 million tonnes.",[0.8372293710708618],[0.7305968403816223],[0.7802868485450745],0.2676056338028169,0.1285714285714286,0.1267605633802817,0.1267605633802817,0.03825861571942584,0.0
"A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.The tobacco companies deny that they illegally conspired to promote smoking and defraud the public.In its case, the government claimed tobacco firms manipulated nicotine levels to increase addiction, targeted teenagers with multi-billion dollar advertising campaigns, lied about the dangers of smoking and ignored research to the contrary.Shares of tobacco companies closed higher after the ruling, with Altria rising 5% and Reynolds showing gains of 4.5%.",A US appeal court has thrown out a government claim accusing the country's biggest tobacco companies of covering up the effects of smoking in a 2-1 decision. The tobacco firms deny that they illegally conspired to promote smoking and defraud the public.,[0.9390199184417725],[0.84541255235672],[0.8897610902786255],0.5611510791366906,0.4525547445255474,0.460431654676259,0.460431654676259,0.20337061273417614,0.0
